epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,6319.76,1.52614,1.42768,1.38385,0.73891,0.62339,0.6762,0.42107,1.75836,1.6062,1.54693,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,6459.78,1.51439,1.41579,1.38166,0.72457,0.68005,0.67841,0.43126,1.74712,1.58,1.53809,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,6598.92,1.50495,1.39375,1.3703,0.75626,0.63286,0.67251,0.42545,1.77034,1.59913,1.53395,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,6739.43,1.50207,1.39849,1.37601,0.73851,0.64936,0.68879,0.44463,1.75904,1.58825,1.53865,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,6879.45,1.51264,1.40641,1.37476,0.77193,0.66974,0.69533,0.44369,1.74523,1.58007,1.52727,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,7019.09,1.49416,1.36803,1.36899,0.77325,0.64751,0.68084,0.44786,1.72556,1.55821,1.52515,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,7158.81,1.47858,1.33427,1.35514,0.7506,0.68549,0.69537,0.44433,1.77149,1.5769,1.54831,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,7298.47,1.48197,1.34239,1.36307,0.82079,0.64691,0.70685,0.45833,1.75101,1.53791,1.54229,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,7438.17,1.46051,1.29645,1.34443,0.76666,0.67451,0.69686,0.44022,1.76435,1.55997,1.53393,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,7577.98,1.44353,1.28982,1.32797,0.73775,0.68555,0.69769,0.45264,1.74684,1.5459,1.53955,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,7717.76,1.4521,1.28656,1.34071,0.77537,0.65962,0.69599,0.44779,1.7225,1.56914,1.52762,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,7857.64,1.43986,1.26947,1.33179,0.77238,0.67289,0.68893,0.46264,1.7301,1.55757,1.53375,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,7997.04,1.43512,1.25716,1.32011,0.78057,0.67342,0.69607,0.46303,1.74945,1.55521,1.53697,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,8136.7,1.43533,1.26595,1.32592,0.74334,0.69813,0.69947,0.45026,1.76912,1.5321,1.55969,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,8275.74,1.4216,1.22821,1.32402,0.77502,0.66291,0.70185,0.4686,1.73387,1.5223,1.54235,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,8414.96,1.40126,1.20709,1.30682,0.76421,0.66165,0.6853,0.45604,1.74935,1.54829,1.54679,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,8553.81,1.40795,1.2183,1.30002,0.76254,0.65172,0.69401,0.4541,1.74182,1.54068,1.52945,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,8692.96,1.40333,1.22411,1.3099,0.74864,0.6788,0.69678,0.45875,1.74253,1.56399,1.54039,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,8832.14,1.39897,1.19158,1.30184,0.75173,0.68864,0.70288,0.45109,1.75703,1.53732,1.55064,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,8971.37,1.38271,1.16432,1.29174,0.7454,0.68822,0.69765,0.45764,1.73312,1.54933,1.52774,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,9110.51,1.3736,1.16048,1.28675,0.72979,0.68762,0.69807,0.46471,1.76202,1.53861,1.54807,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,9250.58,1.36186,1.14103,1.27987,0.71757,0.6929,0.69751,0.45996,1.78592,1.53164,1.57881,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,9392.87,1.35548,1.14247,1.27927,0.74685,0.68845,0.70462,0.46748,1.75002,1.52484,1.54934,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,9536.05,1.35659,1.13025,1.27786,0.79339,0.67289,0.70223,0.45833,1.76005,1.54715,1.55681,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,9678.91,1.3393,1.09833,1.26265,0.73465,0.68341,0.69537,0.44712,1.75909,1.57997,1.55595,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,9821.4,1.34658,1.11306,1.27043,0.75206,0.65902,0.69182,0.45899,1.77346,1.57694,1.56453,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,9963.54,1.33432,1.09628,1.26166,0.7393,0.69278,0.69425,0.45866,1.748,1.5718,1.54515,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,10104,1.33851,1.09119,1.26014,0.76213,0.67888,0.69904,0.44791,1.75163,1.57025,1.55204,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,10243.3,1.31366,1.08336,1.24567,0.77455,0.68236,0.70059,0.45955,1.74225,1.54111,1.53888,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,10382.6,1.31913,1.07085,1.24452,0.73722,0.69393,0.69762,0.46264,1.77053,1.54098,1.56301,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,10522.1,1.31248,1.05239,1.24605,0.7247,0.70549,0.69927,0.46613,1.77147,1.55459,1.55891,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,10661.9,1.31291,1.04684,1.24168,0.75944,0.68814,0.69444,0.46349,1.76483,1.56603,1.54877,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,10801.1,1.29707,1.03765,1.23413,0.74623,0.67658,0.69547,0.45872,1.77936,1.55644,1.57113,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,10938.8,1.29992,1.02753,1.23077,0.71923,0.71233,0.69855,0.46224,1.78266,1.55491,1.57132,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,11076.4,1.29003,1.0242,1.23062,0.72395,0.66939,0.68692,0.45725,1.76653,1.56321,1.56494,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,11213.8,1.27766,1.00527,1.22008,0.758,0.67269,0.69425,0.45121,1.78817,1.58939,1.58282,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,11351.3,1.26539,0.99357,1.21479,0.76286,0.68692,0.69655,0.46819,1.78518,1.56898,1.58373,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,11488.8,1.2616,0.97986,1.21076,0.77196,0.69384,0.69798,0.46303,1.79747,1.5689,1.5923,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,11626.6,1.25832,0.97174,1.21211,0.77054,0.68659,0.69773,0.46518,1.77909,1.56582,1.57882,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,11766.1,1.2529,0.9743,1.20292,0.76816,0.69025,0.69781,0.46108,1.78369,1.55565,1.58674,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,11904.2,1.24582,0.96442,1.19819,0.78718,0.66866,0.69186,0.45689,1.78537,1.5775,1.57733,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,12042.7,1.24306,0.9578,1.20333,0.77842,0.67427,0.69334,0.46187,1.79974,1.58524,1.60055,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,12180.7,1.22345,0.93694,1.18685,0.77552,0.66901,0.68907,0.46534,1.80505,1.58369,1.60585,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,12318.8,1.22907,0.94358,1.19629,0.79879,0.65955,0.68573,0.46217,1.80974,1.57907,1.61644,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,12456.8,1.20252,0.91057,1.17446,0.77852,0.67006,0.68903,0.46895,1.81107,1.57902,1.61437,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,12595,1.21119,0.92857,1.17885,0.78154,0.65522,0.68854,0.45711,1.79981,1.57513,1.60602,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,12733.4,1.20325,0.91401,1.17432,0.73958,0.68384,0.68908,0.46407,1.80771,1.58067,1.61331,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,12871.2,1.19397,0.892,1.16833,0.76247,0.66723,0.68722,0.46179,1.8076,1.59923,1.61215,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,13008.8,1.18997,0.87903,1.16571,0.7776,0.66504,0.68583,0.46766,1.81022,1.60868,1.61711,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,13146.5,1.1814,0.88117,1.17025,0.76724,0.66828,0.68467,0.4653,1.83036,1.61152,1.63906,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,13283.9,1.18492,0.88186,1.16348,0.79632,0.67217,0.68881,0.46526,1.83955,1.61028,1.65381,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,13422.1,1.17767,0.86249,1.16032,0.78648,0.66692,0.68832,0.46153,1.84241,1.61231,1.65736,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,13559.7,1.16401,0.85189,1.15279,0.80083,0.66007,0.68687,0.46127,1.83877,1.61534,1.65781,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,13701.6,1.15707,0.85065,1.15156,0.80021,0.66813,0.68838,0.45996,1.84315,1.62028,1.66048,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,13843.1,1.15075,0.84445,1.14365,0.80724,0.67864,0.68549,0.46126,1.84189,1.62286,1.64936,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,13984.3,1.13923,0.82847,1.1402,0.79025,0.68096,0.68637,0.46158,1.84427,1.62404,1.65211,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,14123.8,1.15056,0.83293,1.14436,0.7856,0.66849,0.68167,0.46264,1.84118,1.62605,1.65148,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,14263,1.1445,0.83877,1.14479,0.77703,0.66761,0.68372,0.46188,1.84019,1.62584,1.6529,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,14401.9,1.13542,0.82386,1.1309,0.79836,0.6585,0.68457,0.45963,1.84026,1.62241,1.65058,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,14541.5,1.11178,0.80725,1.12541,0.78185,0.6627,0.68242,0.46368,1.83483,1.62597,1.64929,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,14681,1.11473,0.80041,1.12334,0.76804,0.67006,0.67994,0.45886,1.83388,1.6366,1.64755,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,14820.5,1.11713,0.80254,1.1248,0.78155,0.66218,0.68139,0.46638,1.83526,1.65094,1.64572,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,14960.3,1.10575,0.77956,1.11914,0.77463,0.66585,0.68324,0.46692,1.83736,1.64938,1.64506,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,15100.3,1.11022,0.79142,1.12536,0.77177,0.67059,0.68144,0.46522,1.8398,1.6594,1.64889,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,15239.6,1.09562,0.77446,1.10666,0.79998,0.6645,0.6815,0.46256,1.84325,1.66399,1.65331,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,15378.7,1.09844,0.78731,1.11896,0.80441,0.66443,0.68073,0.46095,1.84649,1.67592,1.65966,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
